	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
173	MA0475.2	FLI1	FLI1	ENSG00000151702	['ENST00000281428', 'ENST00000344954', 'ENST00000429175', 'ENST00000527767', 'ENST00000527786', 'ENST00000528790', 'ENST00000534087', 'ENST00000608055', 'ENST00000608303']
174	MA0476.1	FOS	FOS	ENSG00000170345	['ENST00000303562', 'ENST00000535987', 'ENST00000554212', 'ENST00000554617', 'ENST00000555242', 'ENST00000555347', 'ENST00000555672', 'ENST00000555686', 'ENST00000556324', 'ENST00000557139']
175	MA0477.1	FOSL1	FOSL1	ENSG00000175592	['ENST00000312562', 'ENST00000448083', 'ENST00000531493', 'ENST00000532401', 'ENST00000534222']
176	MA0478.1	FOSL2	FOSL2	ENSG00000075426	['ENST00000264716', 'ENST00000379619', 'ENST00000436647', 'ENST00000460736']
177	MA0479.1	FOXH1	FOXH1	ENSG00000160973	['ENST00000377317', 'ENST00000525197']
178	MA0481.1	FOXP1	FOXP1	ENSG00000114861	['ENST00000318779', 'ENST00000318789', 'ENST00000327590', 'ENST00000460805', 'ENST00000468577', 'ENST00000470112', 'ENST00000471386', 'ENST00000472382', 'ENST00000475937', 'ENST00000484350', 'ENST00000485326', 'ENST00000491238', 'ENST00000493010', 'ENST00000493089', 'ENST00000497355', 'ENST00000497553', 'ENST00000498154', 'ENST00000498215', 'ENST00000610810', 'ENST00000614176', 'ENST00000614183', 'ENST00000615603', 'ENST00000620572', 'ENST00000622151', 'ENST00000644199', 'ENST00000647614', 'ENST00000647649', 'ENST00000647741', 'ENST00000647776', 'ENST00000647829', 'ENST00000648107', 'ENST00000648113', 'ENST00000648121', 'ENST00000648155', 'ENST00000648192', 'ENST00000648321', 'ENST00000648380', 'ENST00000648384', 'ENST00000648426', 'ENST00000648654', 'ENST00000648662', 'ENST00000648710', 'ENST00000648718', 'ENST00000648748', 'ENST00000648783', 'ENST00000648794', 'ENST00000648826', 'ENST00000648895', 'ENST00000648944', 'ENST00000649081', 'ENST00000649133', 'ENST00000649145', 'ENST00000649175', 'ENST00000649328', 'ENST00000649417', 'ENST00000649431', 'ENST00000649439', 'ENST00000649513', 'ENST00000649528', 'ENST00000649592', 'ENST00000649596', 'ENST00000649610', 'ENST00000649631', 'ENST00000649659', 'ENST00000649695', 'ENST00000649760', 'ENST00000650068', 'ENST00000650073', 'ENST00000650156', 'ENST00000650188', 'ENST00000650231', 'ENST00000650295', 'ENST00000650387', 'ENST00000650402', 'ENST00000650555', 'ENST00000650580']
179	MA0481.2	FOXP1	FOXP1	ENSG00000114861	['ENST00000318779', 'ENST00000318789', 'ENST00000327590', 'ENST00000460805', 'ENST00000468577', 'ENST00000470112', 'ENST00000471386', 'ENST00000472382', 'ENST00000475937', 'ENST00000484350', 'ENST00000485326', 'ENST00000491238', 'ENST00000493010', 'ENST00000493089', 'ENST00000497355', 'ENST00000497553', 'ENST00000498154', 'ENST00000498215', 'ENST00000610810', 'ENST00000614176', 'ENST00000614183', 'ENST00000615603', 'ENST00000620572', 'ENST00000622151', 'ENST00000644199', 'ENST00000647614', 'ENST00000647649', 'ENST00000647741', 'ENST00000647776', 'ENST00000647829', 'ENST00000648107', 'ENST00000648113', 'ENST00000648121', 'ENST00000648155', 'ENST00000648192', 'ENST00000648321', 'ENST00000648380', 'ENST00000648384', 'ENST00000648426', 'ENST00000648654', 'ENST00000648662', 'ENST00000648710', 'ENST00000648718', 'ENST00000648748', 'ENST00000648783', 'ENST00000648794', 'ENST00000648826', 'ENST00000648895', 'ENST00000648944', 'ENST00000649081', 'ENST00000649133', 'ENST00000649145', 'ENST00000649175', 'ENST00000649328', 'ENST00000649417', 'ENST00000649431', 'ENST00000649439', 'ENST00000649513', 'ENST00000649528', 'ENST00000649592', 'ENST00000649596', 'ENST00000649610', 'ENST00000649631', 'ENST00000649659', 'ENST00000649695', 'ENST00000649760', 'ENST00000650068', 'ENST00000650073', 'ENST00000650156', 'ENST00000650188', 'ENST00000650231', 'ENST00000650295', 'ENST00000650387', 'ENST00000650402', 'ENST00000650555', 'ENST00000650580']
180	MA0484.1	HNF4G	HNF4G	ENSG00000164749	['ENST00000354370', 'ENST00000396419', 'ENST00000396423', 'ENST00000494318']
181	MA0486.1	HSF1	HSF1	ENSG00000284774	['ENST00000642697', 'ENST00000642717', 'ENST00000643086', 'ENST00000643099', 'ENST00000643217', 'ENST00000643870', 'ENST00000643951', 'ENST00000644444', 'ENST00000644450', 'ENST00000646061', 'ENST00000646233', 'ENST00000646252', 'ENST00000646807', 'ENST00000646970']
182	MA0486.2	HSF1	HSF1	ENSG00000284774	['ENST00000642697', 'ENST00000642717', 'ENST00000643086', 'ENST00000643099', 'ENST00000643217', 'ENST00000643870', 'ENST00000643951', 'ENST00000644444', 'ENST00000644450', 'ENST00000646061', 'ENST00000646233', 'ENST00000646252', 'ENST00000646807', 'ENST00000646970']
